brand,model,type,strings,frets,price,mensuration,body,colour,descr,img
REDHILL,LPX200/TRD,Stratocaster,6,22,31.788,24.724,ольха,прозрачныйй красный глянцевый,C:/Users/user/ct/da/lab1-parser/descrs/209.html,C:/Users/user/ct/da/lab1-parser/imgs/209.jpg
REDHILL,STM400/NA,Stratocaster,6,22,35.988,25.512,ольха,натуральный,C:/Users/user/ct/da/lab1-parser/descrs/210.html,C:/Users/user/ct/da/lab1-parser/imgs/210.jpg
Prodipe,JMFST80LHMAS ST80 LH MA,Stratocaster,6,22,27.740,25.5,липа,санберст,C:/Users/user/ct/da/lab1-parser/descrs/211.html,C:/Users/user/ct/da/lab1-parser/imgs/211.jpg
Cort,G200-PPK G Series,Stratocaster,6,22,27.750,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/212.html,C:/Users/user/ct/da/lab1-parser/imgs/212.jpg
STERLING,MAJ170-ADR,Stratocaster,6,22,192.250,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/213.html,C:/Users/user/ct/da/lab1-parser/imgs/213.jpg
Prodipe,JMFSTJUNIORFR,Stratocaster,6,22,19.790,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/214.html,C:/Users/user/ct/da/lab1-parser/imgs/214.jpg
Prodipe,JMFST80MAFR,Stratocaster,6,22,24.610,25.5,липа,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/215.html,C:/Users/user/ct/da/lab1-parser/imgs/215.jpg
Prodipe,JMFST80MABK ST80MA,Stratocaster,6,22,30.620,25.5,липа,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/216.html,C:/Users/user/ct/da/lab1-parser/imgs/216.jpg
STERLING,JP60-MDR2,Stratocaster,6,22,128.150,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/217.html,C:/Users/user/ct/da/lab1-parser/imgs/217.jpg
REDHILL,STM300/RD,Stratocaster,6,22,25.188,25.512,ольха,красный,C:/Users/user/ct/da/lab1-parser/descrs/218.html,C:/Users/user/ct/da/lab1-parser/imgs/218.jpg
STERLING,CT50SSS-TLB-R2,Stratocaster,6,22,88.100,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/219.html,C:/Users/user/ct/da/lab1-parser/imgs/219.jpg
STERLING,AX3FM-TGO-M1,Stratocaster,6,22,58.650,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/220.html,C:/Users/user/ct/da/lab1-parser/imgs/220.jpg
REDHILL,LPX200/VS,Stratocaster,6,22,31.788,24.724,ольха,санберст,C:/Users/user/ct/da/lab1-parser/descrs/221.html,C:/Users/user/ct/da/lab1-parser/imgs/221.jpg
Prodipe,JMFTC80RASG,Stratocaster,6,22,29.120,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/222.html,C:/Users/user/ct/da/lab1-parser/imgs/222.jpg
REDHILL,STM300/VS,Stratocaster,6,22,25.788,25.512,ольха,санберст,C:/Users/user/ct/da/lab1-parser/descrs/223.html,C:/Users/user/ct/da/lab1-parser/imgs/223.jpg
REDHILL,TLX100/VS -,Stratocaster,6,22,17.988,25.512,ольха,санберст,C:/Users/user/ct/da/lab1-parser/descrs/224.html,C:/Users/user/ct/da/lab1-parser/imgs/224.jpg
REDHILL,TLX100/CS,Stratocaster,6,22,17.988,25.512,ольха,черри санберст cherry sunburst,C:/Users/user/ct/da/lab1-parser/descrs/225.html,C:/Users/user/ct/da/lab1-parser/imgs/225.jpg
STERLING,LK100-HZB,Stratocaster,6,22,132.950,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/226.html,C:/Users/user/ct/da/lab1-parser/imgs/226.jpg
STERLING,AX3QM-SPR-M1,Stratocaster,6,22,62.600,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/227.html,C:/Users/user/ct/da/lab1-parser/imgs/227.jpg
