,price,descr
22,20.63,"Электрогитара Clevan CSA-22. Колки на грифе покрыты краской и никелем с 2х сторон. Переключатель на 3 позиции. Гитара показывает превосходное звукоизвлечение и высочайшее качество материалов. Прекрасно подойдет как профессионалам, так и тем, кто только ступил на путь музыки."
23,28.796,"Бренд появился еще в семидесятых годах прошлого века. С самого начала существования инструменты этой торговой марки отличались высоким качеством, и с годами компания ни разу не изменила своим принципам. "
24,43.29,"Cort KX300 – электрогитара с корпусом из красного дерева и установленном на болтах грифом, что обеспечивает полное, но мощное и пробивное звучание. Верх из «подгнившего» клена дополняет красное дерево, создавая сбалансированное звучание. Оно резкое, насыщенное, богатое, теплое и мелодичное. Два выреза корпуса повышают играбельность. Оформление – Open Pore Cyan Burst."
25,15.548,"Aria STG-004 – шестиструнная электрогитара в корпусе типа «стратокастер». Она входит в серию STG, где представлены электрогитары с различными вариантами отделки. Цельный корпус выполнен из липы, гриф выполнен из клена, у него болтовое крепление, а накладка – Techwood (технологически обработанная древесина). У гитары стандартные 22 лада, а длина мензуры составляет 648 мм (25.5”)."
26,19.98,"Младшая модель в семействе X Series, X-100 отличается тем же невероятно удобным и эргономичным дизайном, оставаясь при этом доступной даже для начинающих музыкантов. Хищный корпус из древесины меранти со скоростным грифом из отборного клена дополняется двумя мощными хамбакерами Powersound и традиционным тремоло типа Vintage. В отличие от многих недорогих инструментов других производителей, X-100 изготовлен из цельной древесины. Корпус выполнен из меранти (которое иногда называют Филиппинским красным деревом), а гриф из твердого клена оснащен накладкой из жатоба, максимально приближенной к палисандру. Породы дерева были подобраны таким образом, чтобы добиться плотного насыщенного звучания, но при этом не пробить дыру в бюджете."
27,7.99,"Электрогитара ROCKET ST-32 RD создана с одной целью, чтобы каждый ребенок смог начать играть на гитаре со всем необходимым, в том числе в яркой привлекательной расцветке. С ней можно легко изучить любой жанр, в этом помогут два сингла, предоставляющие разнообразные тона. Получить нужный звук можно с помощью 3-позиционного переключателя и ручек тона и громкости. Более того, эта 32"" электрогитара в стиле стратокастера достаточно легкая и удобная, поскольку корпус сделан из липы. Так как для обучения требуется много практики, гриф создан, чтобы служить долго. Он сделан из клена, а это значит, что он годами выдержит каждый аккорд, рифф и ноту, которую ребенок будет играть на нем. Также он отполирован до гладкости, позволяя детской руке легко дотянуться до каждой ноты."
28,15.546,"Сохранив свой старомодный внешний вид, 714 серия приобрела современные инновационные функции. 714 Custom и Deluxe оснащены вибрато Wilkinson, которые имеют хорошие отзывы за простоту эксплуатации. Белая перламутровая накладка придает гитаре выразительный вид. Инструменты этой серии спроектированы так, что исполнитель может подключить шнур, не наклоняясь. К тому же, он избавлен от риска во время выступления случайно наступить на шнур и выдернуть его из разъёма"
29,102.77,"Новая флагманская модель популярной линейки X Series, гитара X700 Duality сочетает самые качественные материалы и компоненты, звукосниматели Seymour Duncan, визуальную яркость и мастерство изготовления мирового уровня. Этот инструмент не только шикарно и дерзко выглядит, на нем можно играть исключительно быстро и он достаточно универсальный, чтобы охватить практически любой музыкальный жанр и стиль. Крепление грифа на болтах. Корпус - болотный ясень / верх из волнистого клена. Гриф из трех частей, клен и панга-панга. Накладка грифа - черное дерево. 24 лада, нержавеющая сталь. Мензура 648 мм. Светящиеся темноте метки ладов Luminlay. Колковая механика Cort Staggered с блокировкой. Бридж Cort CFA-III тремоло. "
30,14.81,CARAYA E 200 - электрогитара с темброблоком из трех синглов (single). Электрогитара поставляется с анкерным ключом для регулировки высоты грифа и инструментальным кабелем для подключения jack-jack.
31,56.304,"Новая серия Demon одинаково зловещая и сексуальная. Вооруженные двумя Seymour Duncan HB-105 активными хамбакерами, эти демоны предоставляют намного больше звука и сустейна по сравнению с их старшим братом AHB-1 Blackouts. Послушайте сами и будете приятно удивлены!"
32,80.841,"Форма деки V известна своим большим, широким тоном, так что Volcano не разочарует. Утолщенная приподнятая центральная секция увеличивает массу корпуса, в то время как более тонкие ""крылья"" увеличивают резонанс для суровой комбинации сустейна и гармоник. Винтажный дух и агрессивный стиль слились в задиристую рок-машину!"
33,47.18,"Cort CR250 – шестиструнная электрогитара среднего ценового диапазона в корпусе Les Paul (LP) с одним катавеем. Гитара входит в серию Classic Rock, внешний вид и ощущение у инструментов которой находятся на уровне самых востребованных винтажных инструментов «золотой эры» электрогитар. Основа каждой гитары серии – специально разработанные звукосниматели серии ClassicRocker для создания аутентичного рокерского звука: ClassicRocker-II (магниты Alnico II) в позициях грифа и бриджа. Катушки калибра 0.06” дают «жирный» винтажный звук, захватывают самую суть этого звука. В дизайне также необходимо отметить изогнутый топ из огненного клена."
34,26.99,"Fernandes LE-1Z – это серия бюджетных реплик моделей Stratocaster (как со схемами звукоснимателей SSS, так и HSS). Серия существует уже много лет и за это время стала ""базой"" для множества гитаристов. А все потому, что умеренная цена сочетается с жесточайшим контролем качества со стороны специалистов японской гитарной компании Fernandes Guitars. Надежный, певучий и недорогой Страт - основа любой гитарной коллекции. "
35,25.73,Электрогитара.
36,29.625,Schecter SGR BANSHEE-6 - еще более качественный звук по доступной цене.
37,14.11,Электрогитара LesPaul Homage
38,66.976,"SCHECTER C-7 PRO CB -7 струнная электрогитара, 24 лада"
39,109.99,"Серия Pacifica, выпущенная на рынок в 1990 году, возникла под влиянием сессионных музыкантов Калифорнии. Ключевыми критериями при этом были: универсальность использования, выразительность и индивидуальность звучания. Именно появившиеся в те годы заказные гитары, самые первые гитары серии Pacifica стали основой для модели PAC611HFM, которая олицетворяет современную концепцию Pacifica."
40,36.074,"Aria PE-350CST сочетает в себе эстетику 60-х, дополненную современными аспектами, инструмент, обеспечивающий удивительную универсальность и контроль, создающий сбалансированный по атаке, теплоте и чистоте звук. Модель PE-350CST характеризуется вклеенным грифом из окоуме с палисандровой накладкой, и корпусом типа Les Paul, выполненным из липы. У гитары 22 лада, длина мензуры – 628 мм. Установлены динамичные хамбакеры с магнитами Alnico-5, выдающие плавное с закругленными пиками звучание. Темброблок включает в себя два регулятора громкости, два регулятора тона и 3-х позиционный переключатель звукоснимателей. Струнодержатель – QH, бридж - оригинальный Aria SPT, фурнитура золотая."
41,28.796,"Бренд появился еще в семидесятых годах прошлого века. С самого начала существования инструменты этой торговой марки отличались высоким качеством, и с годами компания ни разу не изменила своим принципам. "
42,10.9,"ROCKDALE Stars SSH WH электрогитара, цвет белый"
43,59.99,"Burny RLC60 BLK  электрогитара, форма корпуса Les Paul®, H-H, Tune-o-matic,  цвет черный"
44,30.02,"Электрогитара Clevan CPA-80 - 6-струнная, выполнена в черном цвете."
45,19.03,"CST-30 Электрогитара Clevan. SSH, мензура 648мм, 2 регулятора, 5-позиционный переключатель, бридж - тремоло 6 болтов, цвет - натуральный, черная защитная накладка, колковая механика - хромированная на одну сторону Clevan."
46,82.97,"Новая KX508 Multi Scale II оснащена высоко оцененными звукоснимателями Fishman Fluence Modern, обеспечивающими отличный тон для современной тяжелой музыки. Заслуженно известные Fishman Fluence сочетают в себе лучшее из активного и пассивного миров с точки зрения звучания и ощущений. Будь то брутальный современный дисторшн или приятный чистый винтажный звук, Fluence Modern справляются на отлично и изо дня в день предлагают универсальное и качественное звучание."
47,52.99,"Новая серия Demon одинаково зловещая и сексуальная. Вооруженные двумя Seymour Duncan HB-105 активными хамбакерами, эти демоны предоставляют намного больше звука и сустейна по сравнению с их старшим братом AHB-1 Blackouts. Послушайте сами и будете приятно удивлены! "
48,50.048,"Электрогитара Schecter OMEN-6 уже давно стала наиболее популярной моделью среди относительно недорогих, но качественных инструментов. Она обладает непревзойденным по своей глубине и чистоте звуком с характерными обертонами, которые хорошо прослушиваются во всех диапазонах. Гриф гитары хорошо сбалансирован, лады прочно вмонтированы и отшлифованы. Колки очень надежные и прекрасно держат строй. Электрогитара имеет хорошую экранизацию, поэтому вы можете не переживать о появлении постороннего фона на динамиках. Инструмент прекрасно подойдет как для аккомпанирования в группе, так и для исполнения сольных партий."
49,88.416,"SCHECTER C-6 FR PRO - 6-струнная электрогитара, floyd Rose бридж. "
