,price,descr
226,62.6,Электрогитара STERLING AXIS 
227,45.65,Электрогитара 
228,33.48,"Электрогитара TC80MA, желтая"
229,17.46,"Электрогитара ST Junior уменьшенная, черная"
230,29.53,"Электрогитара ST83RA, санберст"
231,88.1,Электрогитара STERLING Cutlass HSS - вдохновленная винтажным дизайном
232,33.48,"Электрогитара TC80MA, санберст, "
233,96.15,"Разработанная в сотрудничестве с Омаром Родригесом-Лопесом, модель "
234,20.988,"эл.гитара, Telecaster, 1V/1T/3P, S-S, ясень/клен, цвет красный"
235,88.1,Электрогитара STERLING Cutlass HSS - вдохновленная винтажным дизайном
236,79.99," электрогитара, цвет белый"
237,33.48,"Электрогитара ST80RA, белая"
238,45.65,Электрогитара 
239,27.66,"Многие бренды слишком часто снижают качество своих инструментов начального уровня, чтобы подтолкнуть вас к приобретению продукции среднего и высшего ценового диапазона. Prodipe Guitars делают прямо противоположное, ища лучшие конфигурации по лучшим ценам. Рецепт их продукции очень прост: честность, щедрость и традиции."
240,35.99,
241,33.48,"У гитар серии Classic Rock внешний вид, ощущения и звучание самых востребованных винтажных инструментов золотой эры электрогитар. В сердце каждой гитары — специально разработанные звукосниматели ClassicRocker с аутентичным винтажным роковым звучаним и откликом."
242,49.99,
243,27.75,
244,219.99,"Электрогитара с кейсом, НН, гриф клён/ эбони, корпус болотный ясень, Evertune, цвет красный"
245,49.99,
246,28.2,"Электрогитара, черная"
247,49.99,
248,135.99,"Электрогитара, форма V, HH, T-o-M, цвет красный"
249,209.99,"Электрогитара, корпус - ольха, гриф - клен, накладка - черное дерево, звукосниматели - 2 хамбакера Fishman Fluence Modern, бридж Evertune, цвет белый"
250,129.99,"Электрогитара, цвет чёрный, чехол в комплекте."
251,149.99,"Электрогитара с кейсом, НН, гриф клён/ эбони, корпус махагони, цвет чёрный матовый"
252,179.99,Форма корпуса: TYPE A
253,36.99,
254,36.99,
255,36.99,
256,36.99,
257,36.99,
258,125.99,
259,21.31,Форма корпуса: ST style.
260,25.8,"GRX70QA прекрасная электрогитара по доступной цене. Гитара характеризуется Powersound звукоснимателями (2 хамбакерами и 1 синглом), комфортным GRX кленовым грифом который гладкий и быстрый, удобным корпусом из тополя, который уютно прилегает к телу. 5-позиционный переключатель и FAT6 тремоло бридж дают возможность играть практически любым стилем"
261,18.92,В интернет-магазине Jazz-Shop.ru можно 
262,60.0,"Представляем вашему вниманию белую электрогитару Ibanez JEM-JR от компании Ibanez. Эта модель позиционируется как подписная – известного гитариста-виртуоза Стива Вая. Но купить гитару Ibanez JEM-JR стоит не только поклонникам музыканта, но и просто любителям качественных и комфортных инструментов. Первое, что обращает на себя внимание в этой модели – это необычная фишка Стива Вая, «обезьяний захват»: сквозная дырка неправильной формы в деке, которая служит для продевания пальцев. Благодаря этому отверстию инструмент легко переносить, также можно проделывать с ним разные трюки на сцене."
263,21.454,"IBANEZ GIO GRG270B BN – это надёжная японская электрогитара с насыщенным звучанием, которая относится к линейке бюджетных инструментов GIO. Эта гитара и другие родственные ей модели в основном ориентированы на музыкантов с небольшим опытом игры, на тех, кто хочет купить качественный инструмент за относительно небольшую сумму."
264,27.99,
265,44.0,"Epiphone Les Paul Special VE – 6-струнная электрогитара в корпусе формы Лес Пол из новой линейки Vintage Edition (VE). Эта модель сохранила классический узнаваемый облик Les Paul, при этом её корпус сделан не из традиционного красного дерева, а лёгкой древесины тополя. Les Paul Special VE™ от Epiphone – сравнительно недорогая модель, которая собрана из материалов отличного качества и обладает прекрасным звуком. Гриф – привинченный, из красного дерева, удобной формы 1960s SlimTaper профиля D. Накладка грифа палисандровая с инкрустацией традиционными перламутровыми точками. Звукосниматели – два хамбакера собственного производства Epiphone: 650R у грифа и 700Т у бриджа, открытого типа, черного цвета. Переключатель – трёхпозиционный. Элементы управления лаконичны: регулятор громкости и регулятор тембра. Бридж – фиксированный Tune-o-Matic со струнодержателем Stopbar. Гитара выпускается в нескольких вариантах цветового исполнения с покрытием «Vintage Worn». "
266,32.0,"JACKSON JS Series RR Minion JS1X – модель 2018 года, стильная компактная версия Rhoads, пополнившая популярную линейку бюджетных инструментов JS. RR Minion JS1X отличается от полноразмерных гитар укороченной (2/3 стандартной) мензурой 22,5’’ (572 мм) и отлично подойдет для начинающих музыкантов, в том числе для подростков, девушек или взрослых с небольшим размером руки, а также в качестве компактного инструмента для путешествий. Корпус JS1X RR Minion выполнен из тополя. Гриф – из клёна, из одного цельного куска, на болтах, с графитовым усилением, покрытие - матовое. Профиль грифа идеален для скоростной игры. Особенность обновленной линейки 2018 года – накладка на гриф из амаранта радиуса 12 дюймов. На грифе 24 лада Jumbo с классической для инструментов Jackson инкрустацией в виде перламутровых акульих плавников. Звукосниматели – два хамбакера Jackson® High-Output, с трехпозиционным переключателем. Регуляторы: громкость и тембр. Бридж – фиксированный, струны сквозь корпус. Модель производится в пяти вариантах цветового исполнения. Представленная гитара – стильного черного цвета с матовым покрытием и головой грифа в цвет корпуса. На инструменте установлены никелированные струны толщиной .009-.042."
267,127.0,"Fender PLAYER STRAT - это шестиструнная электрогитара линейки PLAYER STRAT. Эти электрогитары имеют качественную электронику и фурнитуру, тщательную отделку всех компонентов, которая выполняется мастерами высокой спецификации. Электрогитара обладает ярким стилем и совершенно потрясающим звучанием. Цвет гитары черный. Мензура - 25.5"", электроника пассивная. Дека электрогитары изготовлена из ольхи. Гриф из клена. Ширина верхнего порожка грифа 42 мм. Количество ладов - 22. Крепление грифа к деке выполнено на болтах. На деку гитары установлен комплект звукоснимателей, спецификация - SSS, модели - Player Series Alnico 5 Strat Single-Coil х 3. Этот комплект звукоснимателей формирует богатый и насыщенный саунд электрогитары. На деку установлен тремоло бридж - 2-Point Synchronized Tremolo with Bent Steel Saddles. Эта гитара станет хорошим приобретением для гитаристов, которые ищут не только премиальный фендеровский звук, но и шикарный стиль для сцены."
268,325.0,Обновленный Les Paul Studio с грифом Slim Taper. Корпус из красного дерева с кленовым топом. Звукосниматели - 490R и 498T. ﻿
269,37.0,"Электрогитара Fender Squier Affinity Telecaster MN 2-Color Sunburst. является удивительным сочетанием классического дизайна Fender Telecaster и достойного качества по приятной цене. На головке грифа красуется обновлённый логотип, а корпус обладает очень приятной расцветкой - двухцветный санбёрст. Благодаря установленным на гитару синглам Vintage-Style Single-Coil Tele и 3-позиционному переключателю, эта гитара - удивительно гибкий в настройке инструмент, подходящий как для мягкой мелодичной, так и драйвовой музыки! За счёт использования классического фендеровского дизайна, инструмент очень отзывчив и приятен в использовании."
270,34.99,"Существуют бренды, которые выпускают отличные инструменты не только в премиум-классе, но даже в бюджетном сегменте. Отзывы на Yamaha PACIFICA 112J на официальном сайте интернет-магазина Jazz-Shop.ru исключительно положительные. Yamaha PACIFICA 112J OVS – инструмент недорогой, но пригодится и новичкам, и тем, кто взял в руки гитару уже давно."
271,44.0,
272,16.1,"Этот товар представлен величайшим производителем инструментов, в том числе и электрогитар, который не нуждается в представлении - Fender. Список музыкантов мировой величины, которые играют на гитарах этой компании можно перечислять бесконечно, так же как и линейку продукции, произведенных ей."
273,17.83,Cort EVL-K4 электрогитара
274,53.0,"JACKSON JS22 SC – шестиструнная электрогитара, модель из бюджетной линейки JS Series. В этой модели идеально сочетаются классический, знакомый стиль корпуса – Monarch с одним вырезом – мощный звук и современная конструкция. JS Series Monarkh SC JS22 отлично звучит как при игре на чистом звуке, так и при тяжелом, перегруженном. Это гитара, отлично подходящая для современного металла. Корпус выполнен из древесины нато. Гриф – из цельного куска клёна, привинченный, с графитовым усилением, обеспечивающим максимальную стабильность. Особенность данной модели – слегка укороченная мензура (24,75). Накладка – из амаранта, переменного радиуса 12-16 дюймов. На грифе 22 лада джамбо, инкрустированных перламутровыми точками. Голова грифа - Jackson® 3x3 AT-1. Четкий, чистый звук инструмента, при этом достаточно плотный и мощный для современных музыкальных направлений, формируют два хамбакера собственного производства Jackson® с высоким выходным уровнем. Переключатель – 3-позиционный, регуляторы – громкость и тембр. Фиксированный бридж надежно держит строй."
275,103.5,"Семиструнная электрогитара Schecter C-7 Apocalypse имеет всё для напористого звучания при игре тяжёлой музыки: качественная электроника с хорошим выхлопом, надёжные материалы изготовления, и апокалиптический дизайн, что немаловажно для создания образа на сцене. Корпус выполнен из болотного ясеня, а гриф – из клёна со вставками из древесины падука, укреплён армированными стержнями из углеродного волокна. На гитаре установлен сет хамбакеров Schecter USA Apocalypse-VII™, две ручки громкости, одна из которых совмещена с отсечкой, ручка тона и трёхпозиционный переключатель звукоснимателей."
276,25.8,
277,41.0,"Представитель традиционных инструментов бренда, электрогитара Epiphone SG SPECIAL VE отличается качественным исполнением и сильным звуком."
278,21.7,"Ibanez GRX20 – шестиструнная электрогитара ярко-cинего цвета из серии GIO. Серия GIO была специально создана для гитаристов, которые хотят получить качество настоящего инструмента Ibanez по доступной цене. В гитаре GRX20-JB конструкторам Ibanez удалось добиться впечатляющего сочетания функциональности, стильного внешнего вида и демократичной цены."
279,39.0,"JACKSON JS11 DK AH FB 22 Fr - это шестиструнная электрогитара популярной линейки Dinky. Электрогитары бренда Jackson являются весьма известными и востребованными среди рок-гитаристов. Электрогитара имеет аутентичное роковое звучание, классический стиль деки и головы грифа. Электрогитара оборудована кленовым грифом с накладкой из амаранта. Маркеры ладов выполнены в виде классических точек белого цвета. Крепление грифа к деке выполнено на болтах. Инструмент пользуется популярностью среди гитаристов играющих рок и мелодичную инструментальную музыку. "
280,28.5,"Шестиструнная электрогитара IBANEZ GIO GSA60 представлена в серии гитар SA компании Ibanez.  В данной серии представлены качественные, хорошо звучащие электрогитары, отлично проявляющие себя в рок-музыке. За звучание электрогитары отвечает комплект звукоснимателей Partsland от производителя (Ibanez). Электрогитара GIO GSA60 станет хорошим приобретением для гитаристов, желающих получить качественный, многофункциональный инструмент с удобным грифом и заряженным звуковым трактом. Как правило, эту модель выбирают любители современного рока и инструментальной гитарной  музыки. Электрогитара обладает декой из агатиса с глянцевой отделкой. Дека гитары имеет элегантный, классический стиль Superstrat, который подчеркивает изящность этого инструмента."
281,27.2,"Ibanez GIO GSA60 – это бюджетная электрогитара для начинающих музыкантов. Она подойдёт для исполнения практически любой музыки. К тому же она выглядит очень оригинально и стильно. Пожалуй, представленная модель – это идеальное сочетание цены, звучания и внешнего вида. Корпус изготовлен из агатиса – одной из наиболее доступных пород деревьев, которые растут в южно-азиатском регионе. По своим свойствам он очень похож на красное дерево (махагон), но звучит не так объёмно, немного выделяет средние ноты. Материал грифа – клён, который в противовес агатису звучит очень чисто и ясно, окрашивая «верха». Накладка на гриф – из индийского палисандра. Сочетание этих древесин делает гриф очень удобным для игры. Количество ладов – 22."
282,55.0,"JACKSON JS22-7 DKA AH FB - HT STN BLK - семиструнная электрогитара с мензурой 26,5’’, модель из бюджетной линейки JS Series. Dinky™ JS22-7 – это мощный звук с усиленными низкими частотами, узнаваемый дизайн и удобство при игре. Гитара заключена в корпус эргономичной формы Dinky™ из тополя. Гриф – из цельного куска клёна, привинченный, с графитовым усилением, обеспечивающим максимальную стабильность. Отделка грифа – матовая. Накладка – из амаранта, переменного радиуса 12-16 дюймов. На грифе 24 лада джамбо, инкрустированных маленькими «акульими плавниками» - Piranha Tooth. Голова грифа - Jackson® 3x4 AT-1. Мощный и при этом чистый звук инструмента формируют два хамбакера собственного производства Jackson® с высоким выходным уровнем, специально разработанными для семиструнных гитар. Переключатель – 3-позиционный, регуляторы – громкость и тембр. Фиксированный бридж Jackson® HT7 (струны сквозь корпус) обеспечивает стабильность строя. Гитара представлена в стильном черном матовом цвете с черной фурнитурой и головой грифа в цвет корпуса."
283,101.0,"JACKSON JS32 RR AH FB - это шестиструнная электрогитара, относящаяся к линейке популярных инструментов - Randy Rhoads Model. Этот инструмент обеспечит гитариста не только качественным звучанием и шикарным стилем, но и богатыми возможностями для творчества. Дека гитары сделана из первосортного тополя. Крепления грифа к деке на винтах. Гриф гитары из клена с накладкой из амаранта. Количество ладов грифа - 24 (Jumbo). Ширина верхнего порожка 42,9 мм. Инструмент под правую руку гитариста. Мензура 25,5"". Органы управления - 1 громкость, 1 тон, 3-позиционный переключатель."
284,447.0,"Обновленный Les Paul Classic с грифом Slim Taper. Корпус из красного дерева с кленовым топом. Звукосниматели - Burstbucker 61R (Zebra) и Burstbucker 61T(Zebra)﻿﻿. ﻿﻿2 push/pull﻿ ручки громкости, 2 push/pull ﻿ручки тона﻿﻿."
285,43.0,IBANEZ IJRX20U-BL набор начинающего электрогитариста.
286,44.0,"Ibanez RG421-MOL – шестиструнная электрогитара из линейки RG. Как все гитары этой серии, модель RG421 отличается впечатляющей многофункциональностью. Она позволяет добиться великолепного, очень чёткого и чистого звучания при игре скоростных соло, а также прекрасно подходит для извлечения густых, плотных риффов. При этом цена инструмента весьма демократична. Дека гитары имеет красивую элегантную форму, сделана из красного дерева. Гриф Wizard III - тонкий, низкопрофильный, при этом очень прочный, выполнен из клёна. Мензура 25,5 дюймов (648 миллиметров) даёт широкие возможности для импровизации. Накладка - палисандровая, с инкрустацией классическими белыми точками. Фиксированный бридж надёжно держит строй. Звукосниматели - два мощных пассивных хамбакера Quantum открытого типа c керамическими магнитами. Такие звукосниматели выдают мощные низкие частоты и усиленную середину, четкие и великолепно артикулированные верха. Переключатель - 5-позиционный. Для настройки звука предусмотрены регуляторы громкости и тембра. Представленная модель элегантно выглядит в натуральном цвете красного дерева с матовой отделкой, черными головой и фурнитурой. На гитаре установлены струны толщиной .010 - .046."
287,56.0,"Epiphone SLASH AFD LES PAUL SPECIAL-II OUTFIT сделана по точным меркам оригинальной гитары Gibson, при использовании тех же технологий. Такой подход гарантирует, что вы получите те же ощущения, что и при игре на гитаре Gibson. Как и у оригинала, мензура равна 24,75 дюймам (62,86 сантиметра), а ширина порожка 1,68 дюйму (4,62 сантиметра). Корпус и гриф гитары изготовлены из красного дерева (mahogany), дающего тёплое звучание низких частот и прекрасный сустейн. Задняя сторона гитары и гриф окрашены в тёплый вишнёвый цвет, а топ в кричащий ярко-янтарный. Накладка грифа выполнена из палисандра (rosewood), и имеет 22 лада с акриловыми маркерами. Голову грифа украшают логотипы Epiphone (тиснение серебром) и Slash's Snakepit (тиснение золотом). Фурнитура хромированная, колки выполнены в духе оригинала. Одной из особенностей данной электрогитары "
288,139.086,"Dean ML 79 F – электрогитара типа «стелс», корпус изготовлен из красного дерева, топ – из огненного клена. Гриф вклеенный, материал изготовления – красное дерево с накладкой из палисандра. На гитаре установлен бридж Floyd Rose,колки гровер и звукосниматели DMT Design. Страна производства - Китай, Бренд DEAN - США"
289,49.0,"IBANEZ RG421EX – шестиструнная электрогитара из линейки RG от знаменитого японского производителя. Гитары серии RG отличаются впечатляющей многофункциональностью. Они позволяют добиться великолепного, очень чёткого и чистого звучания при игре скоростных соло, прекрасно подходят для извлечения густых, плотных риффов. IBANEZ RG421EX – это достаточно бюджетная модель с тонким низкопрофильным, очень прочным грифом с мензурой 25,5 дюймов (648 мм), которая дает широкие возможности для импровизации. Корпус гитары имеет красивую элегантную форму, выполнен из красного дерева. Гриф – изящный Wizard III сделан из древесины клена с палисандровой накладкой. Лады jumbo инкрустированы классическими белыми точками. Бридж гитары – фиксированный. Установленные на этой модели пассивные хамбакеры Quantum с керамическими магнитами отличаются усиленным, очень глубоким звуком в диапазоне нижних частот, мощной серединой и чистыми, прекрасно артикулированными верхами. Представленная модель IBANEZ RG421EX - стильного матового черного цвета с прекрасно дополняющей облик черной фурнитурой."
290,525.0,"GIBSON 2019 LES PAUL STANDARD 60S BOURBON BURST - это профессиональная шестиструнная электрогитара, переиздание легендарной модели Les Paul Standard 1960 года. Инструмент обладает шикарным стилем и премиальным, классическим звучанием. Гитара под правую руку. Цвет гитары - бурбон бёрст (BOURBON BURST). Этот инструмент полностью оптимизирован к современным музыкальным требованиям самых изысканных музыкантов. "
291,27.99,
292,18.78,"Электрогитара, Caraya. Шестиструнная гитара с корпусом типа «Les Paul» из древесины твердых пород. Без защитной накладки."
293,27.2,"Шестиструнная электрогитара IBANEZ GIO GSA60 представлена в серии гитар SA компании Ibanez.  В данной серии представлены качественные, хорошо звучащие электрогитары, отлично проявляющие себя в рок-музыке. За звучание электрогитары отвечает комплект звукоснимателей Partsland от производителя (Ibanez). Электрогитара GIO GSA60 станет хорошим приобретением для гитаристов, желающих получить качественный, многофункциональный инструмент с удобным грифом и заряженным звуковым трактом. Как правило, эту модель выбирают любители современного рока и инструментальной гитарной  музыки. Электрогитара обладает декой из агатиса с глянцевой отделкой. Дека гитары имеет элегантный, классический стиль Superstrat, который подчеркивает изящность этого инструмента."
294,58.0,"Электрогитара EPIPHONE Les Paul Studio E1 (ранее - LT) Heritage Cherry Sunburst дает возможность приобщиться к классическому стилю электрогитар LES PAUL STUDIO. Изначально эти модели были созданы для работы в студии, но постепенно они завоевали популярность у более широкого круга музыкантов. Это хороший, универсальный инструмент для широкого круга самых разных музыкальных задач. Epiphone представляет бюджетный вариант классической электрогитары LES PAUL STUDIO, сохраняя все ее основные достоинства. На деку гитары установлен комплект звукоснимателей-хамбакеров, это модели Alnico Classic Humbuckers (х 2) от производителя. Цвет гитары вишневый санберст (Heritage Cherry Sunburst)."
295,58.0,На официальном сайте нашего интернет-магазина Jazz-Shop.ru легко 
296,244.0,"GIBSON 2019 SG TRIBUTE - модель 2019 года, SG в традиционном корпусе из красного дерева, дополненном кленовым грифом профиля Round с палисандровой накладкой. За звучание отвечают два хамбакера открытого типа, черного цвета: 490R и 490T. Модельный ряд "
297,21.7,"Ibanez GRX20 – шестиструнная электрогитара ярко-cинего цвета из серии GIO. Серия GIO была специально создана для гитаристов, которые хотят получить качество настоящего инструмента Ibanez по доступной цене. В гитаре GRX20-JB конструкторам Ibanez удалось добиться впечатляющего сочетания функциональности, стильного внешнего вида и демократичной цены."
298,49.0,"JACKSON JS12 DK – шестиструнная электрогитара, модель из бюджетной линейки JS Series. Dinky™ JS12 – это классический звук, узнаваемый дизайн и удобство при игре, характерные для инструментов Jackson, доступные по доступной цене. Гитара заключена в стильный корпус эргономичной формы Dinky™ из тополя. Гриф – из цельного куска клёна, привинченный, с графитовым усилением, обеспечивающим максимальную стабильность. Отделка грифа – матовая. Накладка – из амаранта, диаметра 12 дюймов, удобная как для игры ритма, так и для соло. На грифе 24 лада джамбо, инкрустированных перламутровыми точками. Голова грифа - Jackson® Pointed (6 в ряд). Мощный и при этом чистый звук инструмента формируют два хамбакера собственного производства Jackson® с высоким выходным уровнем. Переключатель – 3-позиционный, регуляторы – громкость и тембр. Тремоло предоставляет широкие возможности для экспрессивной игры, дает отличную динамику и продолжительный сустейн."
299,156.265,"Перед вами самая роковая гитара всех времен - Gibson FLYING V 120. Мощный звук, невероятная форма, великолепный внешний вид сделали эту модель одной из самых популярных в мире. Цельный корпус в форме стрелы (Flying V) сделан из махагони отличнейшего качества, накладка на махагониевый гриф сделана из палисандра. Сочетание этих материал подарило гитаре чудесный, чистый и плотный звук. Лакированная нитроцеллюлозная отделка электрогитары позволяет инструменту дышать и улучшает акустические характеристики музыкального инструмента."
300,27.6,"Когда речь заходит о хорошей гитаре цена не имеет значения, но не с электрогитарами серии GIO, которые специально разработаны для гитаристов, кому нужна хорошая гитара с превосходным звучанием по доступной цене. Электрогитара GRGR131EX-BKF не только безупречно выглядит и звучит лучше, чем другие гитары в этом ценовом диапазоне, но и прошла строгий контроль качества как все дорогие модели IBANEZ."
301,120.471,"FENDER PLAYER TELE MN - это шестиструнная электрогитара линейки PLAYER TELE. Современные телекастеры этой линейки имеют стильный дизайн, качественную электронику и фурнитуру, тщательную отделку всех компонентов, выполненную мастерами высокой спецификации. Электрогитара обладает не только оригинальным, узнаваемым стилем, но и совершенно потрясающим звучанием. Цвет гитары белый. Мензура - 25,5"", электроника пассивная. Гитара под правую руку. Установлен комплект струн Fender .009 - .042. Дека электрогитары изготовлена из ольхи. Гриф из клена с накладкой из клена. Ширина верхнего порожка грифа 42 мм. Количество ладов - 22. Крепление грифа к деке выполнено на болтах. На деку гитары установлен комплект звукоснимателей, спецификация - SS, модели - 2 New Player AlNiCo V single coils. Такой комплект звукоснимателей формирует богатый и насыщенный саунд этой электрогитары. На деку установлен фиксированный бридж с креплением струн сквозь корпус гитары. Эта гитара станет хорошим приобретением для гитаристов, которые ищут не только премиальный фендеровский звук, но и шикарный стиль электрогитар Fender. "
302,275.0,"Эта подписная модель Ibanez Joe Satriani создана в Японии с типичным для Ibanez качеством лучшими мастерами. Это отличный инструмент, разработанный, чтобы удовлетворить любые потребности музыканта и вдохновить его на творческие победы. У этого исключительного инструмента невероятно красивый и изысканный корпус из ольхи с необычным покрытием, снабженный грифом JS из клена и древесины бубинга. Его палисандровая накладка украшена изящной точечной инкрустацией из перламутра и 24 ладами 6105 с особой закаткой Prestige. JS2450 идет в комплекте с любимыми звукоснимателями Джо – DiMarzio с некоторыми усовершенствованиями в электронике. Ручка громкости снабжена фильтром ограничения высоких частот, а ручка тона - переключателем отсечки звукоснимателя, которая добавляет больше звуковых вариаций в звучание обоих хамбакеров. Из остальных особых характеристик – тремоло JS/Edge, фаворит Джо в звучании и ощущениях от игры."
303,9.83,
304,27.99,"Элегантный шестиструнный электроинструмент YAMAHA ERG121U черным блестящим цветом в определенном смысле подчеркивает свою принадлежность к миру рок-музыки. В противовес корпусу головка грифа цвета натурального клена выглядит очень естественно и мягко. Из такого же дерева полностью выполнен весь гриф, основательно закрепленный на корпусе, а темная накладка на нем – из палисандра. Корпус изготовлен из липы. Электрогитара YAMAHA ERG121U имеет 22 лада, снабжена звукоснимателями. Два хамбакера позволяют добиться насыщенного густого звучания, в то время как сингл преобразует ноты в прозрачные легкие звуки. Остальное оснащение типично для всего ряда электрогитар производителя YAMAHA: винтажный бридж тремоло, переключатель с пятью позициями, есть возможность регулировать громкость и тембр звучания. Струны легко натягиваются и настраиваются."
305,16.1,"Этот товар представлен величайшим производителем инструментов, в том числе и электрогитар, который не нуждается в представлении - Fender. Список музыкантов мировой величины, которые играют на гитарах этой компании можно перечислять бесконечно, так же как и линейку продукции, произведенных ей."
306,18.5,
307,55.99,"Электрогитара на левую руку Schecter Omen-8 - качественная 8-ми струнная электрогитара от американского производителя ""Schecter"". Популярный тип корпуса ""суперстрат"" сделанный из липы, с вклееным грифом из клена, защитное покрытие чёрного цвета."
308,51.34,"Новая модель CR300 была создана с аутентичным винтажным звучанием электрогитары с одним вырезом, сплошным корпусом и вклеенным грифом, но без ценника винтажной гитары. Оригинальное звучание и ощущения 50-ых и 60-ых. Классический, проверенный временем стиль с корпусом с одним вырезом, 15мм изогнутой верхней декой из клена высочайшего качества и вклеенным грифом. 5мм кленовая накладка на корпусе из красного дерева.Толстая изогнутая накладка на корпусе из красного дерева — это классическое сочетание древесины, которое невозможно переплюнуть: звучание плотное, резкое, теплое, богатое, насыщенное и мелодичное."
